time,daily_max,daily_min,latitude,longitude,number,step,surface
1981-06-27,25.710846,21.460968,4.0,-73.0,0,0 days,0.0
1981-06-28,29.428864,21.939453,4.0,-73.0,0,0 days,0.0
1981-06-29,28.749786,20.699371,4.0,-73.0,0,0 days,0.0
1981-06-30,29.577179,21.326202,4.0,-73.0,0,0 days,0.0
1981-07-01,30.938751,22.040314,4.0,-73.0,0,0 days,0.0
1981-07-02,29.023438,22.520905,4.0,-73.0,0,0 days,0.0
1981-07-03,27.263397,21.605682,4.0,-73.0,0,0 days,0.0
1981-07-04,29.055328,21.191956,4.0,-73.0,0,0 days,0.0
1981-07-05,29.43393,21.808777,4.0,-73.0,0,0 days,0.0
1981-07-06,29.431915,21.716187,4.0,-73.0,0,0 days,0.0
1981-07-07,28.32779,21.281342,4.0,-73.0,0,0 days,0.0
1981-07-08,29.159668,21.99234,4.0,-73.0,0,0 days,0.0
1981-07-09,27.800476,21.197968,4.0,-73.0,0,0 days,0.0
1981-07-10,28.306671,21.074036,4.0,-73.0,0,0 days,0.0
1981-07-11,27.211884,22.279785,4.0,-73.0,0,0 days,0.0
1981-07-12,28.374054,20.810303,4.0,-73.0,0,0 days,0.0
1981-07-13,30.59494,22.052216,4.0,-73.0,0,0 days,0.0
1981-07-14,27.637604,21.500732,4.0,-73.0,0,0 days,0.0
1981-07-15,29.536652,20.9758,4.0,-73.0,0,0 days,0.0
1981-07-16,29.146301,21.137695,4.0,-73.0,0,0 days,0.0
1981-07-17,25.668884,21.61673,4.0,-73.0,0,0 days,0.0
1981-07-18,28.716644,21.833466,4.0,-73.0,0,0 days,0.0
1981-07-19,28.446198,21.604584,4.0,-73.0,0,0 days,0.0
1981-07-20,22.654327,19.26236,4.0,-73.0,0,0 days,0.0
1981-07-21,24.803955,17.805145,4.0,-73.0,0,0 days,0.0
1981-07-22,27.773163,17.479523,4.0,-73.0,0,0 days,0.0
1981-07-23,28.610077,21.582642,4.0,-73.0,0,0 days,0.0
1981-07-24,29.362,20.903656,4.0,-73.0,0,0 days,0.0
1981-07-25,27.91446,21.053925,4.0,-73.0,0,0 days,0.0
1981-07-26,27.865692,21.669586,4.0,-73.0,0,0 days,0.0
1981-07-27,28.6586,21.821594,4.0,-73.0,0,0 days,0.0
1981-07-28,28.56076,21.976501,4.0,-73.0,0,0 days,0.0
1981-07-29,29.786865,19.677368,4.0,-73.0,0,0 days,0.0
1981-07-30,28.711182,21.680054,4.0,-73.0,0,0 days,0.0
1981-07-31,28.19751,21.927338,4.0,-73.0,0,0 days,0.0
1981-08-01,29.930145,22.137909,4.0,-73.0,0,0 days,0.0
1981-08-02,26.244537,21.565643,4.0,-73.0,0,0 days,0.0
1981-08-03,28.716278,20.980957,4.0,-73.0,0,0 days,0.0
1981-08-04,30.018951,22.086304,4.0,-73.0,0,0 days,0.0
1981-08-05,29.198517,22.373688,4.0,-73.0,0,0 days,0.0
1981-08-06,27.68991,22.300415,4.0,-73.0,0,0 days,0.0
1981-08-07,29.588287,20.842133,4.0,-73.0,0,0 days,0.0
1981-08-08,28.012878,22.153534,4.0,-73.0,0,0 days,0.0
1981-08-09,29.932281,21.996124,4.0,-73.0,0,0 days,0.0
1981-08-10,29.06311,21.599945,4.0,-73.0,0,0 days,0.0
1981-08-11,29.168213,22.279327,4.0,-73.0,0,0 days,0.0
1981-08-12,27.32492,22.151459,4.0,-73.0,0,0 days,0.0
1981-08-13,29.079132,21.837463,4.0,-73.0,0,0 days,0.0
1981-08-14,30.920746,21.452179,4.0,-73.0,0,0 days,0.0
1981-08-15,31.42978,22.472717,4.0,-73.0,0,0 days,0.0
1981-08-16,30.945557,22.699951,4.0,-73.0,0,0 days,0.0
1981-08-17,29.71167,21.924286,4.0,-73.0,0,0 days,0.0
1981-08-18,28.814972,20.90393,4.0,-73.0,0,0 days,0.0
1981-08-19,27.858368,21.261017,4.0,-73.0,0,0 days,0.0
1981-08-20,30.05832,21.264801,4.0,-73.0,0,0 days,0.0
1981-08-21,30.321686,21.401001,4.0,-73.0,0,0 days,0.0
1981-08-22,30.218842,21.938507,4.0,-73.0,0,0 days,0.0
1981-08-23,29.398712,22.522217,4.0,-73.0,0,0 days,0.0
1981-08-24,31.417267,20.862396,4.0,-73.0,0,0 days,0.0
1981-08-25,26.870392,21.611725,4.0,-73.0,0,0 days,0.0
1981-08-26,29.748444,19.902222,4.0,-73.0,0,0 days,0.0
1981-08-27,28.249573,21.881195,4.0,-73.0,0,0 days,0.0
1981-08-28,30.483124,20.406708,4.0,-73.0,0,0 days,0.0
1981-08-29,30.13089,20.555481,4.0,-73.0,0,0 days,0.0
1981-08-30,31.200653,21.450836,4.0,-73.0,0,0 days,0.0
1981-08-31,26.661774,20.907928,4.0,-73.0,0,0 days,0.0
1981-09-01,30.575409,21.405243,4.0,-73.0,0,0 days,0.0
1981-09-02,31.181763,21.250427,4.0,-73.0,0,0 days,0.0
1981-09-03,30.305573,23.029327,4.0,-73.0,0,0 days,0.0
1981-09-04,27.860992,21.650574,4.0,-73.0,0,0 days,0.0
1981-09-05,29.105988,21.901672,4.0,-73.0,0,0 days,0.0
1981-09-06,30.410675,21.925446,4.0,-73.0,0,0 days,0.0
1981-09-07,28.533966,21.014801,4.0,-73.0,0,0 days,0.0
1981-09-08,30.066284,21.690216,4.0,-73.0,0,0 days,0.0
1981-09-09,29.97226,21.525604,4.0,-73.0,0,0 days,0.0
1981-09-10,28.951447,21.515015,4.0,-73.0,0,0 days,0.0
1981-09-11,28.814606,21.789764,4.0,-73.0,0,0 days,0.0
1981-09-12,29.753052,20.293793,4.0,-73.0,0,0 days,0.0
1981-09-13,30.173676,22.236145,4.0,-73.0,0,0 days,0.0
1981-09-14,28.919708,21.453308,4.0,-73.0,0,0 days,0.0
1981-09-15,24.973969,21.491241,4.0,-73.0,0,0 days,0.0
1981-09-16,27.618805,20.775024,4.0,-73.0,0,0 days,0.0
1981-09-17,28.161102,21.0206,4.0,-73.0,0,0 days,0.0
1981-09-18,30.18045,21.499725,4.0,-73.0,0,0 days,0.0
1981-09-19,28.161224,20.84549,4.0,-73.0,0,0 days,0.0
1981-09-20,30.091156,21.57309,4.0,-73.0,0,0 days,0.0
1981-09-21,28.920563,22.621735,4.0,-73.0,0,0 days,0.0
1981-09-22,30.61618,21.934814,4.0,-73.0,0,0 days,0.0
1981-09-23,29.007843,22.462463,4.0,-73.0,0,0 days,0.0
1981-09-24,28.677765,22.337067,4.0,-73.0,0,0 days,0.0
1981-09-25,30.174042,22.711456,4.0,-73.0,0,0 days,0.0
1981-09-26,31.244385,22.585663,4.0,-73.0,0,0 days,0.0
1981-09-27,28.693756,22.155457,4.0,-73.0,0,0 days,0.0
1981-09-28,29.268219,22.270966,4.0,-73.0,0,0 days,0.0
1981-09-29,30.578217,22.41214,4.0,-73.0,0,0 days,0.0
1981-09-30,30.454681,22.323029,4.0,-73.0,0,0 days,0.0
1981-10-01,27.27127,21.693176,4.0,-73.0,0,0 days,0.0
1981-10-02,29.555695,22.970764,4.0,-73.0,0,0 days,0.0
1981-10-03,30.106354,20.920563,4.0,-73.0,0,0 days,0.0
1981-10-04,29.751862,22.351776,4.0,-73.0,0,0 days,0.0
1981-10-05,31.208588,23.309113,4.0,-73.0,0,0 days,0.0
1981-10-06,31.65387,23.765045,4.0,-73.0,0,0 days,0.0
1981-10-07,30.392487,22.269379,4.0,-73.0,0,0 days,0.0
1981-10-08,30.061066,21.21222,4.0,-73.0,0,0 days,0.0
1981-10-09,28.46286,22.103638,4.0,-73.0,0,0 days,0.0
1981-10-10,30.54544,21.810547,4.0,-73.0,0,0 days,0.0
1981-10-11,30.19809,22.748383,4.0,-73.0,0,0 days,0.0
1981-10-12,30.603363,21.298798,4.0,-73.0,0,0 days,0.0
1981-10-13,29.59848,22.471344,4.0,-73.0,0,0 days,0.0
1981-10-14,29.184296,22.025421,4.0,-73.0,0,0 days,0.0
1981-10-15,29.622162,22.564606,4.0,-73.0,0,0 days,0.0
1981-10-16,30.062103,22.975128,4.0,-73.0,0,0 days,0.0
1981-10-17,29.910309,22.255798,4.0,-73.0,0,0 days,0.0
1981-10-18,30.265503,22.45578,4.0,-73.0,0,0 days,0.0
1981-10-19,31.33316,21.6875,4.0,-73.0,0,0 days,0.0
1981-10-20,32.128387,20.579285,4.0,-73.0,0,0 days,0.0
1981-10-21,30.91101,22.041565,4.0,-73.0,0,0 days,0.0
1981-10-22,28.808441,21.777283,4.0,-73.0,0,0 days,0.0
1981-10-23,30.753204,22.662231,4.0,-73.0,0,0 days,0.0
1981-10-24,29.236267,21.99936,4.0,-73.0,0,0 days,0.0
1981-10-25,30.77127,22.221466,4.0,-73.0,0,0 days,0.0
1981-10-26,28.93161,21.990448,4.0,-73.0,0,0 days,0.0
1981-10-27,30.738617,22.022217,4.0,-73.0,0,0 days,0.0
1981-10-28,30.891663,22.984253,4.0,-73.0,0,0 days,0.0
1981-10-29,31.231262,23.303802,4.0,-73.0,0,0 days,0.0
1981-10-30,29.048737,22.717377,4.0,-73.0,0,0 days,0.0
1981-10-31,30.129059,22.417694,4.0,-73.0,0,0 days,0.0
1981-11-01,31.283356,22.858734,4.0,-73.0,0,0 days,0.0
1981-11-02,31.442017,23.551666,4.0,-73.0,0,0 days,0.0
1981-11-03,31.92514,22.00003,4.0,-73.0,0,0 days,0.0
1981-11-04,29.549438,22.627777,4.0,-73.0,0,0 days,0.0
1981-11-05,31.34842,22.529205,4.0,-73.0,0,0 days,0.0
1981-11-06,32.022278,21.824188,4.0,-73.0,0,0 days,0.0
1981-11-07,28.065216,22.687775,4.0,-73.0,0,0 days,0.0
1981-11-08,31.745026,23.134949,4.0,-73.0,0,0 days,0.0
1981-11-09,31.71817,23.25064,4.0,-73.0,0,0 days,0.0
1981-11-10,31.981506,22.660309,4.0,-73.0,0,0 days,0.0
1981-11-11,32.33075,22.803345,4.0,-73.0,0,0 days,0.0
1981-11-12,30.319916,23.958466,4.0,-73.0,0,0 days,0.0
1981-11-13,30.327301,22.832245,4.0,-73.0,0,0 days,0.0
1981-11-14,30.140442,23.2005,4.0,-73.0,0,0 days,0.0
1981-11-15,31.35379,22.520477,4.0,-73.0,0,0 days,0.0
1981-11-16,31.140045,22.95694,4.0,-73.0,0,0 days,0.0
1981-11-17,31.44571,23.86554,4.0,-73.0,0,0 days,0.0
1981-11-18,29.840088,23.149597,4.0,-73.0,0,0 days,0.0
1981-11-19,31.393005,21.660004,4.0,-73.0,0,0 days,0.0
1981-11-20,31.943878,22.966309,4.0,-73.0,0,0 days,0.0
1981-11-21,29.237823,21.861572,4.0,-73.0,0,0 days,0.0
1981-11-22,29.980682,22.659882,4.0,-73.0,0,0 days,0.0
1981-11-23,31.521698,22.627716,4.0,-73.0,0,0 days,0.0
1981-11-24,29.651764,23.279358,4.0,-73.0,0,0 days,0.0
1981-11-25,30.957306,22.536896,4.0,-73.0,0,0 days,0.0
1981-11-26,31.757843,22.254791,4.0,-73.0,0,0 days,0.0
1981-11-27,29.726898,21.519714,4.0,-73.0,0,0 days,0.0
1981-11-28,30.64627,22.053864,4.0,-73.0,0,0 days,0.0
1981-11-29,31.520294,21.950165,4.0,-73.0,0,0 days,0.0
1981-11-30,31.367096,22.310852,4.0,-73.0,0,0 days,0.0
1981-12-01,32.035126,22.8284,4.0,-73.0,0,0 days,0.0
1981-12-02,29.201263,21.426636,4.0,-73.0,0,0 days,0.0
1981-12-03,30.491364,22.01712,4.0,-73.0,0,0 days,0.0
1981-12-04,30.102966,20.64859,4.0,-73.0,0,0 days,0.0
1981-12-05,28.958221,22.498047,4.0,-73.0,0,0 days,0.0
1981-12-06,30.00113,23.17044,4.0,-73.0,0,0 days,0.0
1981-12-07,30.502838,22.783539,4.0,-73.0,0,0 days,0.0
1981-12-08,30.19168,22.57434,4.0,-73.0,0,0 days,0.0
1981-12-09,29.831696,21.543182,4.0,-73.0,0,0 days,0.0
1981-12-10,30.081207,22.183716,4.0,-73.0,0,0 days,0.0
1981-12-11,30.353302,20.854828,4.0,-73.0,0,0 days,0.0
1981-12-12,30.622345,22.033478,4.0,-73.0,0,0 days,0.0
1981-12-13,28.452118,22.558563,4.0,-73.0,0,0 days,0.0
1981-12-14,28.47641,22.814423,4.0,-73.0,0,0 days,0.0
1981-12-15,31.110199,20.710602,4.0,-73.0,0,0 days,0.0
1981-12-16,31.173676,20.816406,4.0,-73.0,0,0 days,0.0
1981-12-17,30.409698,20.751526,4.0,-73.0,0,0 days,0.0
1981-12-18,30.800323,22.081024,4.0,-73.0,0,0 days,0.0
1981-12-19,31.365448,22.142975,4.0,-73.0,0,0 days,0.0
1981-12-20,30.6268,22.56665,4.0,-73.0,0,0 days,0.0
1981-12-21,30.49472,22.133545,4.0,-73.0,0,0 days,0.0
1981-12-22,31.280487,23.05185,4.0,-73.0,0,0 days,0.0
1981-12-23,30.710663,22.439545,4.0,-73.0,0,0 days,0.0
1981-12-24,31.141083,21.61496,4.0,-73.0,0,0 days,0.0
1981-12-25,31.74643,22.957977,4.0,-73.0,0,0 days,0.0
1981-12-26,29.762482,21.53717,4.0,-73.0,0,0 days,0.0
1981-12-27,29.84372,22.00763,4.0,-73.0,0,0 days,0.0
1981-12-28,29.775848,19.976593,4.0,-73.0,0,0 days,0.0
1981-12-29,28.931854,21.60492,4.0,-73.0,0,0 days,0.0
1981-12-30,31.667389,21.707703,4.0,-73.0,0,0 days,0.0
1981-12-31,30.869354,23.062134,4.0,-73.0,0,0 days,0.0
1982-01-01,32.110138,22.672455,4.0,-73.0,0,0 days,0.0
1982-01-02,28.596222,22.295746,4.0,-73.0,0,0 days,0.0
1982-01-03,29.76767,22.348969,4.0,-73.0,0,0 days,0.0
1982-01-04,31.398285,21.680603,4.0,-73.0,0,0 days,0.0
1982-01-05,29.38681,22.156189,4.0,-73.0,0,0 days,0.0
1982-01-06,30.589142,22.594482,4.0,-73.0,0,0 days,0.0
1982-01-07,30.325745,22.597656,4.0,-73.0,0,0 days,0.0
1982-01-08,30.990936,21.562164,4.0,-73.0,0,0 days,0.0
1982-01-09,30.649689,20.413757,4.0,-73.0,0,0 days,0.0
1982-01-10,31.514801,21.393036,4.0,-73.0,0,0 days,0.0
1982-01-11,32.094727,21.029297,4.0,-73.0,0,0 days,0.0
1982-01-12,29.54538,20.527191,4.0,-73.0,0,0 days,0.0
1982-01-13,30.1586,21.806183,4.0,-73.0,0,0 days,0.0
1982-01-14,31.85025,21.249054,4.0,-73.0,0,0 days,0.0
1982-01-15,31.26059,21.487946,4.0,-73.0,0,0 days,0.0
1982-01-16,33.423767,20.589417,4.0,-73.0,0,0 days,0.0
1982-01-17,32.62964,20.872314,4.0,-73.0,0,0 days,0.0
1982-01-18,32.015045,22.0831,4.0,-73.0,0,0 days,0.0
1982-01-19,32.918,21.133392,4.0,-73.0,0,0 days,0.0
